Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Brasil,Pampa Sul,Carbón,,Candiota - RS,Activa,345,28/6/2019,Usina Termelétrica Pampa Sul S.A.,Privado,Florianópolis,Usina Termelétrica Pampa Sul S.A.,werid coordinates,,-31.273334,-53.464447,345,Carbón
Brasil,Maranhão IV (Antiga MC2 Joinville),Gas natural,,Santo Antônio dos Lopes - MA,Activa,338,1/2/13,Parnaíba Geração E Comercialização De Energia S.A,Privado,Rio de Janeiro,Parnaíba Geração E Comercialização De Energia S.A,werid coordinates,,-26.172943,-48.531678,338,Gas
Brasil,Maranhão V (Antiga MC2 João Neiva),Gas natural,,Santo Antônio dos Lopes - MA,Activa,338,29/03/2013,Parnaíba Geração E Comercialização De Energia S.A,Privado,Rio de Janeiro,Parnaíba Geração E Comercialização De Energia S.A,werid coordinates,,-19.45288,-40.2396,338,Gas
Brasil,Fortaleza,Gas natural,,Caucaia - CE,Activa,327,27/12/2003,Central Geradora Termeletrica Fortaleza S.A.,Privado,Fortaleza,Central Geradora Termeletrica Fortaleza S.A.,werid coordinates,,-3.6813963,-38.9002151,327,Gas
Brasil,Vale do Açú (Antiga Jesus Soares Pereira),Gas natural,,Alto do Rodrigues - RN,Activa,323,10/9/08,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-5.2257,-36.497,323,Gas
Brasil,MC2 Nova Venécia 2,Gas natural,,Santo Antônio dos Lopes - MA,Activa,270,23/10/2013,Parnaíba Ii Geração De Energia S.A,Privado,Rio de Janeiro,Parnaíba Ii Geração De Energia S.A,werid coordinates,,-4.528523,-44.213608,270,Gas
Brasil,Jorge Lacerda III,Carbón,,Capivari de Baixo - SC,Activa,262,1/2/79,Diamante Geração De Energia Ltda.,Privado,Florianópolis,Diamante Geração De Energia Ltda.,werid coordinates,,-28.265657,-48.573807,262,Carbón
Brasil,Cubatão (Euzébio Rocha),Gas natural,,Cubatão - SP,Activa,250,17/11/2009,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-23.523199,-46.255461,250,Gas
Brasil,Canoas (Antiga Sepé Tiaraju),Gas natural,,Canoas - RS,Activa,249,29/03/2001,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-29.5235,-51.849,249,Gas
Brasil,Aparecida Parte I,Gas natural,,Manaus - AM,Activa,241,1/8/97,Amazonas Geração E Transmissão De Energia S.A,Privado,Cachoeirinha,Amazonas Geração E Transmissão De Energia S.A,werid coordinates,,-3.746999,-60.158001,241,Gas
Brasil,Jorge Lacerda I e II,Carbón,,Capivari de Baixo - SC,Activa,232,1/3/65,Diamante Geração De Energia Ltda.,Privado,Florianópolis,Diamante Geração De Energia Ltda.,werid coordinates,,-28.265657,-48.573807,232,Carbón
Brasil,Ibirité (Aureliano Chaves),Gas natural,,Ibirité - MG,Activa,226,8/7/02,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-19.5926,-44.553999,226,Gas
Brasil,CST,Petróleo,,Serra - ES,Activa,225,1/4/03,Arcelormittal Brasil S.A.,Privado,Belo Horizonte,Arcelormittal Brasil S.A.,werid coordinates,,-20.7444,-40.18288,225,Otro
Brasil,Termoceará,Gas natural,,Caucaia - CE,Activa,220,6/7/02,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-3.6920385,-38.8732557,220,Gas
Brasil,CSP,Otro,,São Gonçalo do Amarante - CE,Activa,218,14/10/2016,Companhia Siderurgica Do Pecem,Privado,São Gonçalo do Amarante,Companhia Siderurgica Do Pecem,werid coordinates,,-3.5495406,-38.8130235,218,Gas
